accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
6,Bangalore,Karnataka,13.064327,77.530941,2025-03-24,6:00,6,Monday,0,highway,3,0,clear,high,33,high,drunk driving,minor,4,4,0,None,0.3
9,Bangalore,Karnataka,12.939033,77.498966,2024-03-31,4:00,4,Sunday,1,rural,3,1,clear,high,23,low,weather,minor,1,0,0,None,0.1
11,Bangalore,Karnataka,12.936802,77.469957,2022-01-27,2:00,2,Thursday,0,urban,5,1,rain,medium,33,low,drunk driving,minor,2,0,0,None,0.25
22,Bangalore,Karnataka,12.911401,77.624696,2024-08-06,3:00,3,Tuesday,0,urban,1,0,rain,low,26,medium,distraction,major,3,1,0,None,0.45
30,Bangalore,Karnataka,13.181455,77.704682,2023-05-21,17:00,17,Sunday,1,rural,3,1,clear,high,36,high,distraction,minor,1,1,1,None,0.45
33,Bangalore,Karnataka,13.007483,77.745779,2023-10-09,3:00,3,Monday,0,highway,1,0,rain,medium,23,medium,drunk driving,minor,4,4,0,None,0.25
45,Bangalore,Karnataka,13.032625,77.614829,2024-06-21,9:00,9,Friday,0,urban,2,1,rain,medium,21,high,distraction,minor,1,1,1,None,0.6
52,Bangalore,Karnataka,12.863932,77.797043,2024-07-21,2:00,2,Sunday,1,urban,4,0,fog,low,15,low,drunk driving,major,1,0,0,None,0.45
73,Bangalore,Karnataka,12.984625,77.767823,2022-09-21,6:00,6,Wednesday,0,rural,1,1,rain,low,19,low,distraction,fatal,1,1,0,None,0.65
74,Bangalore,Karnataka,12.954595,77.488507,2024-02-25,13:00,13,Sunday,1,highway,1,1,fog,low,29,medium,overspeeding,major,2,0,0,None,0.45
92,Bangalore,Karnataka,12.941515,77.674347,2024-11-14,5:00,5,Thursday,0,rural,6,0,fog,low,35,high,overspeeding,minor,3,1,0,None,0.65
102,Bangalore,Karnataka,13.045999,77.520041,2023-04-24,12:00,12,Monday,0,urban,4,1,rain,medium,26,low,distraction,fatal,1,1,0,None,0.45
103,Bangalore,Karnataka,12.848361,77.433807,2022-10-26,7:00,7,Wednesday,0,rural,2,0,clear,high,25,medium,drunk driving,major,1,0,0,None,0.1
104,Bangalore,Karnataka,13.057964,77.590444,2023-12-10,20:00,20,Sunday,1,highway,2,0,clear,high,40,medium,drunk driving,minor,4,0,0,None,0.1
110,Bangalore,Karnataka,12.94701,77.785423,2024-11-19,16:00,16,Tuesday,0,rural,1,0,clear,high,34,low,distraction,minor,5,5,0,None,0.1
120,Bangalore,Karnataka,12.863873,77.573049,2023-06-23,14:00,14,Friday,0,rural,3,0,clear,high,20,high,drunk driving,major,4,0,0,None,0.3
129,Bangalore,Karnataka,12.810804,77.644324,2023-04-12,15:00,15,Wednesday,0,highway,3,0,fog,low,31,low,weather,minor,1,1,0,None,0.45
134,Bangalore,Karnataka,12.913562,77.619006,2023-10-30,19:00,19,Monday,0,highway,3,0,rain,medium,34,medium,poor road,major,4,3,1,None,0.4
142,Bangalore,Karnataka,12.851488,77.589232,2024-10-22,21:00,21,Tuesday,0,urban,2,1,fog,low,36,high,drunk driving,minor,1,0,0,None,0.65
148,Bangalore,Karnataka,13.055067,77.418018,2023-10-19,11:00,11,Thursday,0,rural,4,1,rain,low,30,low,distraction,minor,3,2,0,None,0.45
150,Bangalore,Karnataka,13.174917,77.602348,2023-11-04,21:00,21,Saturday,1,rural,4,1,rain,low,29,medium,drunk driving,major,4,4,0,None,0.45
153,Bangalore,Karnataka,13.052805,77.617588,2024-07-23,14:00,14,Tuesday,0,urban,3,1,rain,medium,26,medium,weather,minor,5,0,0,None,0.25
161,Bangalore,Karnataka,12.828296,77.719866,2025-01-31,1:00,1,Friday,0,rural,3,1,fog,low,35,low,overspeeding,major,2,0,0,None,0.45
167,Bangalore,Karnataka,13.068595,77.762442,2022-12-22,17:00,17,Thursday,0,urban,1,1,clear,high,33,medium,poor road,fatal,5,5,1,None,0.45
