u,v,key,accident_count,severity_score,total_casualties,risk_score,risk_level,road_length,highway,lanes,maxspeed,oneway
10989311719,10017529513,0,0,0,0,0.0,Low,24.935894850316977,residential,nan,nan,False
7121595606,7121595597,0,8,8,12,94.29650613786592,Critical,253.28180237250365,residential,nan,nan,False
363788962,363788898,0,0,0,0,0.0,Low,60.086513922945386,residential,nan,nan,False
1538258102,1538258039,0,0,0,0,0.0,Low,53.2515932917104,residential,nan,nan,False
306617098,266276754,0,1,1,2,38.1586402266289,Medium,121.92150770117104,residential,nan,nan,False
14172803269,7465950644,0,2,6,4,88.45136921624174,Critical,258.54807517357466,tertiary,nan,nan,False
7462733017,6143206904,0,2,6,4,88.45136921624174,Critical,152.41190263420953,secondary,2.0,nan,True
3868729253,3868729561,0,1,1,2,38.1586402266289,Medium,39.74126889071268,residential,nan,nan,False
529291164,529291277,0,0,0,0,0.0,Low,147.5795465183951,residential,nan,nan,False
9613161441,9613161436,0,1,5,1,57.80925401322001,High,149.96833515022678,residential,nan,nan,False
11431570036,7279291013,0,8,16,13,95.17469310670444,Critical,86.01750205329337,residential,nan,nan,False
10095028672,6755784879,0,2,2,5,73.04060434372049,High,78.04923916780712,residential,nan,nan,False
10093892286,2268179673,0,1,3,1,49.405099150141645,Medium,40.44952013180848,living_street,nan,nan,False
1601001843,10209016990,0,1,1,3,41.1614730878187,Medium,132.55347718774368,tertiary,nan,nan,False
10026247108,2248738158,0,1,1,2,38.1586402266289,Medium,27.133791449980617,residential,nan,nan,False
7457472567,7457472570,0,1,1,0,29.272898961284238,Medium,94.08180391405996,residential,nan,nan,False
442438288,1572978285,0,1,5,5,68.60245514636449,High,53.69825705481789,tertiary,nan,nan,False
1931853251,1931853248,0,0,0,0,0.0,Low,143.52489629129704,residential,nan,nan,False
736207341,1212302832,0,1,3,4,58.72521246458924,High,79.28654626377221,residential,nan,nan,False
10091276550,13991711774,0,0,0,0,0.0,Low,29.42039994322731,residential,nan,nan,False
426962404,427593220,0,1,1,0,29.272898961284238,Medium,92.84438252266138,residential,nan,nan,False
13633596517,10091455090,0,0,0,0,0.0,Low,30.758238476097702,residential,nan,nan,False
7271027039,7271027038,0,2,2,6,73.73937677053824,High,29.274633052952275,residential,nan,nan,False
6180426981,463681242,0,0,0,0,0.0,Low,90.07105241493555,secondary,nan,nan,False
1533807380,1355273670,0,0,0,0,0.0,Low,32.401017278974784,tertiary,nan,nan,False
3161220982,3161220978,0,1,1,1,33.9943342776204,Medium,104.60522045739457,residential,nan,nan,False
12148059333,3667423530,0,1,3,3,56.57223796033995,High,277.22871054711646,residential,2.0,nan,True
10982345438,4950714653,0,1,1,3,41.1614730878187,Medium,48.75190541999966,residential,nan,nan,False
2247956052,7401660120,0,0,0,0,0.0,Low,3.8741940336833234,tertiary,2,nan,False
10063679758,1556104768,0,0,0,0,0.0,Low,32.292069621351374,residential,nan,nan,False
13787730870,7377821387,0,2,6,4,88.45136921624174,Critical,78.58209910049383,residential,2.0,nan,False
4484966011,4484966012,0,0,0,0,0.0,Low,63.56435826194249,residential,nan,nan,False
12740873658,11449187227,0,1,5,1,57.80925401322001,High,845.1714591106119,tertiary,2.0,nan,True
4121135636,4121135638,0,0,0,0,0.0,Low,37.816681963833005,residential,nan,nan,False
13097775122,13097775118,0,1,3,0,44.68366383380548,Medium,63.06421946567366,residential,nan,nan,False
4948781869,4948781871,0,0,0,0,0.0,Low,96.55167586488932,residential,nan,nan,False
2220746559,2220746473,0,0,0,0,0.0,Low,306.3967020639056,residential,nan,nan,False
