u,v,key,accident_count,severity_score,total_casualties,frequency_norm,severity_norm,casualty_norm,risk_score,risk_level,road_length,highway,lanes,maxspeed,oneway,frequency_rank,severity_rank,casualty_rank
62011481,334473795,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,174.5377488198285,residential,2.0,,True,0.43248347497639283,0.24173748819641172,0.11520302171860246
247974066,247974064,0,1,1,2,0.0,0.0,0.0093896713615023,38.1586402266289,Medium,277.627915542417,trunk,2.0,,True,0.43248347497639283,0.24173748819641172,0.5594900849858357
248459812,248459811,0,1,1,1,0.0,0.0,0.0046948356807511,33.994334277620396,Medium,187.35522397938067,secondary,2.0,25.0,True,0.43248347497639283,0.24173748819641172,0.35127478753541075
248459877,248455485,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,113.19620720360308,primary,,40.0,True,0.43248347497639283,0.24173748819641172,0.11520302171860246
248525409,10289145755,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,212.3759002784845,primary,2.0,,True,0.43248347497639283,0.24173748819641172,0.11520302171860246
248810153,503975983,0,1,3,3,0.0,0.0074349442379182,0.0140845070422535,56.57223796033995,High,120.7790508386286,residential,,,False,0.43248347497639283,0.6270066100094429,0.7096317280453258
249075659,303935969,0,1,1,1,0.0,0.0,0.0046948356807511,33.994334277620396,Medium,209.64147750351088,secondary,,,True,0.43248347497639283,0.24173748819641172,0.35127478753541075
249137583,1277414198,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,115.32273046791175,residential,,,False,0.43248347497639283,0.24173748819641172,0.11520302171860246
249585508,3533173819,0,1,3,1,0.0,0.0074349442379182,0.0046948356807511,49.405099150141645,Medium,46.28309752906007,primary,,,True,0.43248347497639283,0.6270066100094429,0.35127478753541075
249775639,4830093914,0,1,3,1,0.0,0.0074349442379182,0.0046948356807511,49.405099150141645,Medium,50.8433948039372,residential,,,False,0.43248347497639283,0.6270066100094429,0.35127478753541075
251104952,325107559,0,1,1,4,0.0,0.0,0.0187793427230046,43.31444759206799,Medium,427.2426178117555,tertiary,2.0,30.0,True,0.43248347497639283,0.24173748819641172,0.8172804532577904
251106828,251106717,0,1,1,1,0.0,0.0,0.0046948356807511,33.994334277620396,Medium,662.4216781085174,residential,,30.0,False,0.43248347497639283,0.24173748819641172,0.35127478753541075
254665655,10121050217,0,1,1,2,0.0,0.0,0.0093896713615023,38.1586402266289,Medium,346.5836621198856,primary,2.0,,True,0.43248347497639283,0.24173748819641172,0.5594900849858357
264845751,2206930282,0,1,1,5,0.0,0.0,0.0234741784037558,44.787535410764875,Medium,175.6737566977658,secondary,2.0,,False,0.43248347497639283,0.24173748819641172,0.8909348441926346
266274986,10094586223,0,1,1,4,0.0,0.0,0.0187793427230046,43.31444759206799,Medium,178.84939914973077,residential,,,False,0.43248347497639283,0.24173748819641172,0.8172804532577904
267216122,267216110,0,3,7,6,0.016260162601626,0.0223048327137546,0.028169014084507,92.45514636449481,Critical,320.7479258824096,tertiary,2.0,,False,0.9244570349386213,0.9239848914069877,0.9258734655335222
267217102,267217059,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,663.449752967844,secondary,,,True,0.43248347497639283,0.24173748819641172,0.11520302171860246
272717139,3034593622,0,1,5,3,0.0,0.0148698884758364,0.0140845070422535,64.97639282341832,High,130.4691319597073,residential,,,False,0.43248347497639283,0.8371104815864022,0.7096317280453258
287899763,287897029,0,1,1,5,0.0,0.0,0.0234741784037558,44.787535410764875,Medium,287.30529595387446,tertiary,,,False,0.43248347497639283,0.24173748819641172,0.8909348441926346
292563598,11888184756,0,30,62,39,0.2357723577235772,0.2267657992565055,0.1830985915492957,98.77242681775262,Critical,17.86430103110427,secondary,,,True,0.990084985835694,0.9872521246458924,0.983947119924457
292569173,7465485353,0,1,1,2,0.0,0.0,0.0093896713615023,38.1586402266289,Medium,96.35131826967093,residential,,,False,0.43248347497639283,0.24173748819641172,0.5594900849858357
292571164,292571165,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,140.541390862304,secondary,2.0,,False,0.43248347497639283,0.24173748819641172,0.11520302171860246
298774979,269699408,0,1,3,0,0.0,0.0074349442379182,0.0,44.68366383380548,Medium,181.78666209747425,residential,2.0,,False,0.43248347497639283,0.6270066100094429,0.11520302171860246
298774979,269699862,0,1,5,2,0.0,0.0148698884758364,0.0093896713615023,61.97355996222852,High,125.9456099401534,residential,,,False,0.43248347497639283,0.8371104815864022,0.5594900849858357
298830791,298774979,0,1,3,0,0.0,0.0074349442379182,0.0,44.68366383380548,Medium,360.8386891987684,residential,2.0,,False,0.43248347497639283,0.6270066100094429,0.11520302171860246
303916736,303916859,0,1,3,3,0.0,0.0074349442379182,0.0140845070422535,56.57223796033995,High,262.1582013613282,residential,,,False,0.43248347497639283,0.6270066100094429,0.7096317280453258
303975877,459820551,0,1,3,3,0.0,0.0074349442379182,0.0140845070422535,56.57223796033995,High,38.18298262149907,residential,,,False,0.43248347497639283,0.6270066100094429,0.7096317280453258
306587086,1088037381,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,267.7114255856764,tertiary,,,True,0.43248347497639283,0.24173748819641172,0.11520302171860246
306589626,3931954080,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,135.66698606575312,secondary,2.0,,False,0.43248347497639283,0.24173748819641172,0.11520302171860246
306617098,266276754,0,1,1,2,0.0,0.0,0.0093896713615023,38.1586402266289,Medium,121.92150770117104,residential,,,False,0.43248347497639283,0.24173748819641172,0.5594900849858357
308063937,10081235960,0,1,3,1,0.0,0.0074349442379182,0.0046948356807511,49.405099150141645,Medium,1696.356320419458,secondary,,,False,0.43248347497639283,0.6270066100094429,0.35127478753541075
308229996,11446070485,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,95.2232116754552,tertiary,2.0,,True,0.43248347497639283,0.24173748819641172,0.11520302171860246
308230869,960247494,0,1,5,3,0.0,0.0148698884758364,0.0140845070422535,64.97639282341832,High,26.8960958223504,secondary,2.0,40.0,False,0.43248347497639283,0.8371104815864022,0.7096317280453258
308231942,426941479,0,1,1,2,0.0,0.0,0.0093896713615023,38.1586402266289,Medium,140.15538226455504,secondary,,,False,0.43248347497639283,0.24173748819641172,0.5594900849858357
308448870,960247083,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,81.55533144947498,tertiary,,,False,0.43248347497639283,0.24173748819641172,0.11520302171860246
308448881,959253530,0,1,3,0,0.0,0.0074349442379182,0.0,44.68366383380548,Medium,186.04990932875396,residential,,,False,0.43248347497639283,0.6270066100094429,0.11520302171860246
308448882,959510088,0,1,1,3,0.0,0.0,0.0140845070422535,41.1614730878187,Medium,99.7473373393118,secondary,2.0,,False,0.43248347497639283,0.24173748819641172,0.7096317280453258
308461043,362471357,0,1,1,4,0.0,0.0,0.0187793427230046,43.31444759206799,Medium,164.0392368773857,residential,,,False,0.43248347497639283,0.24173748819641172,0.8172804532577904
308466204,2550219096,0,1,3,2,0.0,0.0074349442379182,0.0093896713615023,53.569405099150146,High,115.41899620931784,residential,,,False,0.43248347497639283,0.6270066100094429,0.5594900849858357
308468446,308468528,0,1,3,1,0.0,0.0074349442379182,0.0046948356807511,49.405099150141645,Medium,61.16872212504141,residential,,,False,0.43248347497639283,0.6270066100094429,0.35127478753541075
308807686,309595874,0,1,3,0,0.0,0.0074349442379182,0.0,44.68366383380548,Medium,208.2147516883581,tertiary,,,False,0.43248347497639283,0.6270066100094429,0.11520302171860246
309596299,249075221,0,1,1,2,0.0,0.0,0.0093896713615023,38.1586402266289,Medium,90.26433375632418,tertiary,,,True,0.43248347497639283,0.24173748819641172,0.5594900849858357
312440405,312426612,0,1,5,3,0.0,0.0148698884758364,0.0140845070422535,64.97639282341832,High,119.15580717372234,residential,2.0,,False,0.43248347497639283,0.8371104815864022,0.7096317280453258
313460477,306618704,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,74.97054090117153,tertiary,4.0,,False,0.43248347497639283,0.24173748819641172,0.11520302171860246
331151839,331151836,0,1,1,2,0.0,0.0,0.0093896713615023,38.1586402266289,Medium,237.1010918597121,tertiary,,,False,0.43248347497639283,0.24173748819641172,0.5594900849858357
333512467,11896576907,0,1,3,3,0.0,0.0074349442379182,0.0140845070422535,56.57223796033995,High,130.42852600393746,tertiary,,,False,0.43248347497639283,0.6270066100094429,0.7096317280453258
343601824,6194946707,0,1,1,1,0.0,0.0,0.0046948356807511,33.994334277620396,Medium,107.0923631534382,residential,,,False,0.43248347497639283,0.24173748819641172,0.35127478753541075
352930062,9903952376,0,1,1,1,0.0,0.0,0.0046948356807511,33.994334277620396,Medium,716.9438528955988,tertiary,,,True,0.43248347497639283,0.24173748819641172,0.35127478753541075
355840357,7410650516,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,67.43025688199107,tertiary,,,False,0.43248347497639283,0.24173748819641172,0.11520302171860246
364644500,364644685,0,1,1,1,0.0,0.0,0.0046948356807511,33.994334277620396,Medium,88.12926956214358,residential,,,False,0.43248347497639283,0.24173748819641172,0.35127478753541075
378714706,10951087533,0,1,1,0,0.0,0.0,0.0,29.272898961284234,Medium,352.40272307476295,primary,,,False,0.43248347497639283,0.24173748819641172,0.11520302171860246
387554418,387554424,0,1,3,0,0.0,0.0074349442379182,0.0,44.68366383380548,Medium,57.16475694651817,residential,,,False,0.43248347497639283,0.6270066100094429,0.11520302171860246
391929261,4490108936,0,2,2,3,0.008130081300813,0.0037174721189591,0.0140845070422535,69.41454202077432,High,430.1028380333456,primary,2.0,50.0,True,0.8899905571293674,0.49055712936732765,0.7096317280453258
