location,latitude,longitude,incidents,severity,accident_type,peak_hours,road_condition,weather_factor,road_length,road_highway,lanes,maxspeed,oneway,u,v,key
Silk Board Junction,12.9177,77.6233,42,high,Vehicle Collision,Morning/Evening,Good,No,500.80837627337775,primary_link,2,40,True,5067333236,12822455068,0
KR Puram Bridge,13.0054,77.6714,38,high,Vehicle Collision,Evening,Fair,No,42.20627418085141,residential,unknown,unknown,False,10081327955,1438379141,0
Hebbal Flyover,13.0358,77.5946,35,high,Vehicle Collision,Morning,Good,No,70.9944784963843,residential,unknown,unknown,False,9189026913,2460374974,0
Marathahalli Bridge,12.9591,77.6974,25,medium,Vehicle Collision,Evening,Poor,Yes,178.2666110903706,residential,unknown,unknown,False,10089237210,10089237212,0
Bannerghatta Road,12.8933,77.597,28,medium,Vehicle Collision,Evening,Fair,No,302.3503740681955,residential,unknown,unknown,False,1344698606,1344698544,1
Tin Factory,12.9984,77.661,32,high,Vehicle Collision,Morning/Evening,Fair,No,34.504537600576064,residential,unknown,unknown,False,9189144956,1837722585,0
Mekhri Circle,13.0152,77.5843,22,medium,Vehicle Collision,Evening,Good,No,193.70629111355336,trunk_link,2,60,True,343338941,850854718,0
Yeshwanthpur Junction,13.0204,77.5563,24,medium,Vehicle Collision,Afternoon,Good,No,77.08238495143203,tertiary,unknown,unknown,True,463680908,11843465423,0
Jayadeva Flyover,12.9227,77.6127,30,high,Vehicle Collision,Morning,Fair,No,217.5968577378566,residential,unknown,unknown,False,3145224313,6455785761,0
Electronic City Flyover,12.844,77.6608,26,medium,Vehicle Collision,Morning,Good,No,44.68975613699969,residential,unknown,unknown,False,7484941125,7484941124,0
Whitefield Main Road,12.9698,77.7499,23,medium,Vehicle Collision,Morning/Evening,Good,No,150.66478195158624,primary,2,unknown,True,10056189410,331147702,0
Mysore Road,12.9456,77.5336,33,high,Vehicle Collision,Evening,Fair,No,33.2484916588283,residential,unknown,unknown,False,13266504810,2224183036,0
Old Madras Road,13.0098,77.6406,27,medium,Vehicle Collision,Afternoon,Fair,No,55.954021680504255,residential,unknown,unknown,False,1799352641,1799352698,0
Tumkur Road,13.0158,77.5362,31,high,Pedestrian Accident,Evening,Good,No,28.583595687348012,residential,unknown,unknown,False,10038593858,10038593872,0
Hosur Road,12.8489,77.627,36,high,Vehicle Collision,Morning,Fair,No,258.54807517357466,tertiary,unknown,unknown,False,14172803269,7465950644,0
Outer Ring Road (Bellandur),12.9254,77.677,34,high,Vehicle Collision,Morning/Evening,Good,No,43.61244871548632,residential,unknown,unknown,False,9788419608,13343872440,0
